id,layer,source,signals,missingSignals,status
erp-task-source-of-truth,database,prisma/schema.prisma,model Task { | model TaskEvent { | model Approval { | model RealmActionReceipt {,,verified
command-surface-task-module,access,lib/realm-access.js,key: 'command' | module: 'tasks' | command: 'command',,verified
authenticated-feature-gated-api,api,app/api/realm-demo/command-center/route.js,"process.env.REALM_ERP_SYNC_ENABLED !== '1' | realmSurfaceDecision(user, 'command' | isFreelancer(user)",,verified
scope-and-privacy-allowlist,server,lib/realm-command-center-admin.js,"realmGuildScope(user) | assigneeId: true | estHours: true | select: { userId: true, hours: true }",,verified
workload-planning-not-ranking,contract,lib/realm-command-center.js,capacityBasis: '40 giờ kế hoạch/người; chỉ dùng để phát hiện xung đột phân bổ' | performanceRanking: false | sourceOfTruth: 'erp-task',,verified
assignment-rbac-and-team-scope,server,lib/realm-action-admin.js,"hasAny(user, ['PM', 'LEAD']) | realm_assignment_target_outside_scope | action === 'task.assign'",,verified
assignment-optimistic-concurrency,server,lib/realm-action-admin.js,assigneeId: command.expectedAssigneeId | dueDate: command.expectedDueDate | priority: command.expectedPriority | 'realm_action_stale',,verified
assignment-idempotency-and-audit,server,lib/realm-action-admin.js,"tx.realmActionReceipt.create | payloadHash: command.payloadHash | tx.auditLog.create({ data: auditData(user, command, 'tasks')",,verified
assignment-event-raven-bridge,api,app/api/realm-demo/actions/route.js,if (action === 'task.assign') return 'command' | await emitEvent(result.resource | if (!result.idempotent),,verified
handoff-owner-team-and-dedup,server,lib/realm-command-center-admin.js,"task.assigneeId !== user.id | realm_handoff_target_outside_team | type: 'task_handoff', refId: task.id, requesterId: user.id, status: 'pending'",,verified
handoff-maker-checker,api,app/api/approvals/[id]/decide/route.js,"['realm_redemption', 'task_handoff'].includes(ap.type) | ap.requesterId === user.id | 'self_approval_forbidden'",,verified
handoff-approval-claim-transaction,api,app/api/approvals/[id]/decide/route.js,"prisma.$transaction(async (tx) | where: { id: ap.id, status: 'pending', steps: ap.steps } | 'approval_decision_stale'",,verified
handoff-cas-team-and-event,server,lib/approvals.js,"executeTaskHandoff | where: { id: taskId, assigneeId: expectedAssigneeId | 'task_handoff_target_outside_team' | await emitEvent('tasks', 'update'",,verified
realtime-task-and-approval-domains,sync,lib/realm-change-feed.js,"tasks: ['operations', 'guild', 'campaigns', 'command', 'rewards', 'chronicle'] | approvals: ['command', 'notifications', 'chronicle']",,verified
accessible-command-ui,client,components/realm/RoyalCommandCenter.jsx,"role=""progressbar"" | aria-busy={saving || undefined} | Mở Task ERP | Điều phối nguồn lực, không xếp hạng con người",,verified
responsive-command-ui,style,components/realm/royal-command-center.module.css,min-height: 44px | :focus-visible | @media (max-width: 420px) | @media (prefers-reduced-motion: reduce),,verified
classic-erp-task-surface-preserved,client,app/(app)/tasks/page.jsx,useResource('taskcomments' | useResource('timelogs' | useResource('taskevents' | Chi tiết công việc,,verified
