"rule_id","title","status","expected_reference","actual","evidence","reviewer","issue","checked_at"
"R01","Ngôn ngữ thiết kế thống nhất","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R01","","","","",""
"R02","Medieval có cấu tạo hợp lý","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R02","","","","",""
"R03","Chất lượng giữ được ngoài góc đẹp","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R03","Partial: true masonry apertures ray-tested; primitive assets remain; no art acceptance.","../../qa/realm-3d/medieval-g1/REPORT.md","","",""
"R04","Tỷ lệ và tiếp xúc đúng","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R04","Partial: desk is 0.75m above ray-measured stone floor, seat 0.477m; seated actor/outfit matrix not tested.","../../qa/realm-3d/medieval-g1/REPORT.md","","",""
"R05","Va chạm và camera tin cậy","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R05","Partial: padded large-obstacle camera bounds and 18cm automatic station arrival tested; all eight desktop work panels and two mobile-emulated destinations reached. Not complete traversal/camera acceptance.","../../qa/realm-3d/navigation-clarity/REPORT.md","","",""
"R06","Định hướng không phụ thuộc nhãn nổi","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R06","","","","",""
"R07","Model và vật liệu trưởng thành","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R07","","","","",""
"R08","Tùy biến không phá nhân vật","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R08","","","","",""
"R09","Presence là người dùng thật","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R09","","","","",""
"R10","Bước chân có trọng lượng","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R10","","","","",""
"R11","Tay và đồ vật thực sự tương tác","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R11","","","","",""
"R12","Camera thoải mái","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R12","","","","",""
"R13","Luồng đầu tiên rõ ràng","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R13","","","","",""
"R14","Phản hồi nhanh và trung thực","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R14","","","","",""
"R15","Không gây cản trở công việc","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R15","","","","",""
"R16","Nhịp khung hình ổn định dưới tải","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R16","Not evaluated on locked devices. New High+Clarity captures report scale 0.75 relative to capped mode ratio, not native resolution; slow automated frame timings provide no performance pass. Previous 0.55 evidence remains historical.","../../qa/realm-3d/navigation-clarity/REPORT.md","","",""
"R17","Tải và streaming có giới hạn","NOT_TESTED","REALM-AAA-ACCEPTANCE-RULES-V1.md#R17","","","","",""
