id,layer,source,signals,missingSignals,status
canonical-task-estimate,data,prisma/schema.prisma,model Task { | estHours | workType | complexity | estimateRevisions,,verified
immutable-estimate-revision,data,prisma/schema.prisma,model WorkEstimateRevision | kind | previousHours | receiptId,,verified
additive-migration,migration,prisma/migrations/20260720230000_add_resource_intelligence/migration.sql,"CREATE TABLE ""WorkEstimateRevision"" | ON DELETE CASCADE | WorkEstimateRevision_receiptId_key",,verified
source-separation,domain,lib/resource-intelligence.js,estimate: | actual: | historical: | source: 'declared_timelog' | isObservedTruth: false,,verified
historical-taxonomy,domain,lib/resource-intelligence.js,historicalPool | normalizedResourceWorkType | normalizedResourceComplexity | exact.length >= 3,,verified
confidence-ceiling,governance,lib/resource-intelligence.js,band: 'medium' | confidence bị giới hạn ở medium | confidenceCeiling: 'medium',,verified
anti-ranking-policy,governance,lib/resource-intelligence.js,employeeRanking: false | presenceAsProductivity: false | payrollUse: false | goldUse: false,,verified
advisory-signals,domain,lib/resource-intelligence.js,estimate_outlier | estimate_consumed | actual_variance | không tự động bác bỏ,,verified
canonical-estimate-action,domain,lib/resource-intelligence-admin.js,RESOURCE_INTELLIGENCE_ACTIONS | 'task.estimate' | normalizeResourceEstimateCommand,,verified
employee-self-scope,authorization,lib/resource-intelligence-admin.js,task.assigneeId !== user.id | resource_intelligence_declaration_forbidden,,verified
manager-scope-and-reason,authorization,lib/resource-intelligence-admin.js,"hasAny(user, ['PM', 'LEAD']) | managerScope | resource_intelligence_manager_reason_required",,verified
cas-idempotency,safety,lib/resource-intelligence-admin.js,workVersion: command.expectedVersion | idempotencyKey | resource_intelligence_work_stale,,verified
atomic-receipt-revision-audit,audit,lib/resource-intelligence-admin.js,realmActionReceipt.create | workEstimateRevision.create | workItemEvent.create | auditLog.create,,verified
repository-realms-dispatch,parity,lib/repository-realms.js,action: 'task.estimate' | RESOURCE_INTELLIGENCE_ACTIONS.includes | executeResourceEstimateAction,,verified
my-work-intelligence,ui,app/(app)/myday/page.jsx,Resource Intelligence · shadow mode | TimeLog hiện là dữ liệu tự khai báo | Cập nhật estimate,,verified
team-work-intelligence,ui,app/(app)/teamwork/page.jsx,Nguồn lực theo bằng chứng có provenance | Manager adjustment | Lưu hiệu chỉnh có receipt,,verified
responsive-accessible-intelligence,ux,app/(app)/teamwork/team-work.module.css,min-height:44px | @media(max-width:720px) | @media(prefers-reduced-motion:reduce),,verified
phase2-tests,test,tests/resource-intelligence-admin.test.mjs,"CAS, receipt, revision, WorkItemEvent và audit atomically | Manager adjustment cần manager scope | Idempotent replay",,verified
phase2-runbook,operations,docs/realms/PHASE-2-RESOURCE-INTELLIGENCE.md,Estimate không phải Actual | confidence ceiling | crmegoric-realms-demo,,verified
